no,card_no,EN_name,KR_name,base_ex,dir,lo_1st,lo_2st,lo_3st,mo_1st,mo_2st,mo_3st,wo_1st,wo_2st,wo_3st
10,메이저 10,Wheel of Fortune,운명의 바퀴,"기회, 일시적인 행운",정방향,Wheel of Fortune (운명의 수레바퀴): 과거에는 연애에서 운명이나 인생의 변화를 받아들이는 데 어려움이 있었을 수 있습니다. 관계의 흐름을 받아들이지 않거나 저항했을 수 있습니다.,"Wheel of Fortune (운명의 수레바퀴):해석: ""운명의 수레바퀴"" 카드는 변화와 운명의 흐름을 상징합니다. 연애에서 이 카드가 나타난다면, 당신의 연애 상황이 현재 변화의 과정에 있다는 것을 나타낼 수 있습니다. 이 변화는 긍정적인 것일 수도 있고, 도전적일 수도 있습니다. 그러나 이 카드는 운명이 변화하는 것을 받아들이고 그에 따라 적응하고자 하는 의지를 나타냅니다.","메이저 10 - 운명의 수레바퀴 (Wheel of Fortune):미래에 운명의 수레바퀴 카드가 나온다면, 당신은 삶의 변화와 운명의 흐름을 경험하게 될 것입니다. 이 카드는 운명적인 변화와 새로운 기회를 상징하며, 당신이나 상대방이 새로운 상황에 대처하고 새로운 길을 탐색할 것임을 나타냅니다.",1st운명의 바퀴돈,2st운명의 바퀴돈,3st운명의 바퀴돈,1st운명의 바퀴일,2st운명의 바퀴일,3st운명의 바퀴일
11,메이저 11,Justice,정의,"균형, 정당함",정방향,Justice (정의): 과거에는 연애에서 공정함이나 균형을 유지하지 못했을 수 있습니다. 과거의 관계에서 정의나 공평함이 부족했을 수 있습니다.,"Justice (정의):해석: ""정의"" 카드는 균형과 공정함을 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 공정함과 균형을 유지하고자 하는 욕구를 느끼고 있을 수 있습니다. 이는 당신이 상대방과의 관계에서 공정한 대우를 받고자 하며, 서로의 필요와 욕구를 존중하고자 하는 의지를 나타냅니다.","메이저 11 - 정의 (Justice):미래에 정의 카드가 나온다면, 당신은 공정하고 균형잡힌 관계를 찾게 될 것입니다. 이 카드는 공정함과 균형을 상징하며, 당신이나 상대방이 상호 존중과 이해를 바탕으로 안정된 관계를 형성할 것임을 나타냅니다.",1st정의돈,2st정의돈,3st정의돈,1st정의일,2st정의일,3st정의일
12,메이저 12,The Hanged Man,매달린 사람,"자기희생, 인내",정방향,The Hanged Man (매달린 사람): 연애에서 변화나 희생을 경험하지 않았을 수 있습니다. 과거에는 관계에서의 변화나 성장을 위해 필요한 희생을 하지 않았을 수 있습니다.,"The Hanged Man (매달린 사람):해석: ""매달린 사람"" 카드는 포기와 희생을 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 어떤 것을 포기하거나 희생해야 할 필요성을 느낄 수 있습니다. 이는 당신이 상황을 다른 관점에서 바라보고, 새로운 인식을 얻고자 하는 의지를 나타냅니다.","메이저 12 - 매달린 사람 (The Hanged Man):미래에 매달린 사람 카드가 나온다면, 당신은 어떤 것을 포기하고 새로운 관점에서 상황을 바라보게 될 것입니다. 이 카드는 포기와 희생을 상징하며, 당신이나 상대방이 상황을 다른 시각에서 이해하고 새로운 인식을 얻으려고 하는 노력을 나타냅니다.",1st매달린 사람돈,2st매달린 사람돈,3st매달린 사람돈,1st매달린 사람일,2st매달린 사람일,3st매달린 사람일
13,메이저 13,Death,죽음,"격변, 이별",정방향,Death (죽음): 과거에는 연애에서 변화나 종료를 거부했을 수 있습니다. 관계에서의 변화를 두려워하거나 과거에 머물고 싶어했을 수 있습니다,"Death (죽음):
해석: ""죽음"" 카드는 변화와 새로운 시작을 상징합니다. 연애에서 이 카드가 나타난다면, 당신이 현재 관계나 상황에서 큰 변화를 경험하고 있음을 나타낼 수 있습니다. 이 변화는 종종 불편하거나 어려울 수 있지만, 새로운 가능성과 성장을 열어줄 것입니다. 이 카드는 종종 과거를 뒤로하고 새로운 시작을 향해 나아가는 것을 의미합니다.","메이저 13 - 죽음 (Death):미래에 죽음 카드가 나온다면, 당신은 변화와 새로운 시작을 경험하게 될 것입니다. 이 카드는 과거의 것들을 뒤로하고 새로운 것을 받아들이는 과정을 상징하며, 당신이나 상대방이 새로운 상황에 적응하고 새로운 가능성을 찾게 될 것임을 나타냅니다.",1st죽음돈,2st죽음돈,3st죽음돈,1st죽음일,2st죽음일,3st죽음일
14,메이저 14,Temperance,절제,"조화, 견실",정방향,Temperance (절제): 이전에는 연애에서 조절이나 균형을 유지하지 못했을 수 있습니다. 감정이나 행동에서 과도한 행동이나 불안정한 요소가 있을 수 있습니다.,"Temperance (절제):해석: ""절제"" 카드는 균형과 조화를 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 감정과 이성을 조화롭게 조절하고자 하는 노력을 하고 있을 것입니다. 이는 갈등을 해결하고 서로의 차이를 이해하며 조화롭게 어우러지려는 의지를 나타냅니다. 이 카드는 또한 인내와 자제력이 필요한 시기임을 암시합니다.","메이저 14 - 절제 (Temperance):미래에 절제 카드가 나온다면, 당신은 감정과 이성을 조화롭게 조절하고자 할 것입니다. 이 카드는 조화와 균형을 상징하며, 당신이나 상대방이 서로의 차이를 이해하고 조화롭게 어우러지려는 노력을 나타냅니다.",1st절제돈,2st절제돈,3st절제돈,1st절제일,2st절제일,3st절제일
15,메이저 15,The Devil,악마,"사심, 속박, 타락",정방향,The Devil (악마): 이전에는 연애에서 유혹이나 중독에 빠졌을 수 있습니다. 관계에서의 중독적인 행동이나 의존성이 있었을 수 있습니다.,"The Devil (악마): 해석: ""악마"" 카드는 유혹과 구속을 상징합니다. 연애에서 이 카드가 나타난다면, 당신이 현재 상황에서 유혹에 빠지거나 부정적인 패턴에 갇혀있을 수 있음을 나타낼 수 있습니다. 이 카드는 자신을 구속하는 것이 무엇인지를 인식하고, 그것으로부터 벗어나기 위한 결단력을 가져야 함을 암시합니다. 이는 종종 관계에서의 갈등이나 중독성이 있는 행동에 대한 경고가 될 수 있습니다.","메이저 15 - 악마 (The Devil):미래에 악마 카드가 나온다면, 당신은 유혹과 구속에 대한 시험을 받을 것입니다. 이 카드는 어떤 것에 묶여있거나 구속되어 있는 상황을 나타내며, 당신이나 상대방이 자유를 되찾고 자신을 해방시키려는 노력이 필요함을 나타냅니다.",1st악마돈,2st악마돈,3st악마돈,1st악마일,2st악마일,3st악마일
16,메이저 16,The Tower,신의 집,"파괴, 파멸",정방향,The Tower (탑): 연애에서 변화나 파괴를 거부했을 수 있습니다. 관계에서의 변화를 경험하거나 받아들이는 데 어려움이 있었을 수 있습니다.,"The Tower (탑):해석: ""탑"" 카드는 갑작스러운 변화와 파괴를 상징합니다. 연애에서 이 카드가 나타난다면, 당신의 연애 상황이 갑작스러운 변화나 충격을 경험하고 있을 수 있습니다. 이 변화는 종종 예상치 못한 것일 수 있으며, 관계에 큰 영향을 줄 수 있습니다. 그러나 이 카드는 종종 이 변화를 통해 새로운 시작과 성장의 기회가 열린다는 희망을 주기도 합니다.","메이저 16 - 탑 (The Tower):미래에 탑 카드가 나온다면, 당신은 갑작스런 변화나 파괴적인 사건을 경험하게 될 것입니다. 이 카드는 구조적인 변화와 개편을 상징하며, 당신이나 상대방의 관계가 큰 변화를 맞이할 것임을 나타냅니다.",1st신의 집돈,2st신의 집돈,3st신의 집돈,1st신의 집일,2st신의 집일,3st신의 집일
17,메이저 17,The Star,별,"희망, 동경",정방향,The Star (별): 과거에는 연애에서 희망이나 기대를 잃었을 수 있습니다. 미래를 향한 희망이나 꿈을 잃은 적이 있을 수 있습니다.,"The Star (별):해석: ""별"" 카드는 희망과 영감을 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 희망과 긍정적인 전망을 가지고 있을 것입니다. 이 카드는 어둠 속에서 빛을 찾으려는 욕망과, 미래에 대한 긍정적인 기대를 나타냅니다. 당신과 상대방 사이의 연애가 희망차고 밝은 미래를 향해 나아가고 있다는 것을 나타낼 수 있습니다.","메이저 17 - 별 (The Star):미래에 별 카드가 나온다면, 당신은 희망과 기대감으로 가득한 새로운 시대를 맞이할 것입니다. 이 카드는 희망과 영감을 상징하며, 당신이나 상대방이 새로운 가능성을 찾아 새로운 시작을 할 것임을 나타냅니다.",1st별돈,2st별돈,3st별돈,1st별일,2st별일,3st별일
18,메이저 18,The Moon,달,"불안, 애매함, 혼돈",정방향,The Moon (달): 이전에는 연애에서 혼란스러운 감정이나 불안감을 경험했을 수 있습니다. 감정의 진실을 이해하지 못하거나 혼란스러운 상황에 처했을 수 있습니다.,"The Moon (달):해석: ""달"" 카드는 불확실성과 감정적인 혼란을 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 불안정한 감정을 경험하고 있을 수 있습니다. 이 카드는 숨겨진 진실과 감정에 주의를 기울이라는 경고를 담고 있으며, 당신이 현재의 관계나 상황을 더 깊이 이해하고자 하는 욕구를 나타냅니다.","메이저 18 - 달 (The Moon):미래에 달 카드가 나온다면, 당신은 감정적인 혼란이나 불확실성을 경험하게 될 것입니다. 이 카드는 감정적인 진실과 숨겨진 것들을 나타내며, 당신이나 상대방이 감정적인 도전에 직면할 것임을 나타냅니다.",1st달돈,2st달돈,3st달돈,1st달일,2st달일,3st달일
19,메이저 19,The Sun,태양,"밝은 미래, 만족",정방향,The Sun (태양): 과거에는 연애에서 밝고 긍정적인 에너지를 경험하지 못했을 수 있습니다. 행복하고 즐거운 순간을 제대로 누리지 못했을 수 있습니다.,"The Sun (태양):해석: ""태양"" 카드는 행복과 만족을 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 행복하고 만족스러운 시기를 보내고 있는 것으로 보입니다. 이 카드는 양성과 열정, 햇빛 아래의 즐거움을 상징하며, 당신과 상대방 사이의 연애가 밝고 향기로운 미래를 향해 나아가고 있다는 것을 나타냅니다.","메이저 19 - 해 (The Sun):미래에 해 카드가 나온다면, 당신은 밝고 긍정적인 에너지와 만족감을 경험하게 될 것입니다. 이 카드는 해피 엔딩과 밝은 미래를 상징하며, 당신이나 상대방이 행복하고 만족스러운 관계를 가질 것임을 나타냅니다.",1st태양돈,2st태양돈,3st태양돈,1st태양일,2st태양일,3st태양일
20,메이저 20,Judgement,심판,"부활, 개선",정방향,Judgement (심판): 이전에는 연애에서 자기 판단이나 결정을 내리지 못했을 수 있습니다. 자신의 가치나 용서를 이해하지 못했을 수 있습니다.,"Judgment (심판):해석: ""심판"" 카드는 결정과 새로운 시작을 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 과거의 실수나 부정적인 경험을 바탕으로 새로운 시작을 할 준비를 하고 있을 수 있습니다. 이는 당신이 자신의 과거를 돌아보고 자기 성찰을 거쳐 새로운 관계나 새로운 시작을 위한 준비를 하고 있다는 것을 나타냅니다.","메이저 20 - 심판 (Judgement):미래에 심판 카드가 나온다면, 당신은 새로운 시작과 결정적인 변화를 경험할 것입니다. 이 카드는 자기계발과 결정을 상징하며, 당신이나 상대방이 새로운 시작을 향해 나아가고 새로운 가능성을 찾아가는 과정을 나타냅니다.",1st심판돈,2st심판돈,3st심판돈,1st심판일,2st심판일,3st심판일
21,메이저 21,The World,세계,"완성, 완전",정방향,The World (세계): 과거에는 연애에서 성취나 완성을 경험하지 못했을 수 있습니다. 관계에서의 완전한 만족감이나 성공을 느끼지 못했을 수 있습니다.,"The World (세계):해석: ""세계"" 카드는 완성과 성취를 상징합니다. 연애에서 이 카드가 나타난다면, 당신은 현재 상황에서 만족스러운 완성을 경험하고 있을 수 있습니다. 이는 당신이 자신과 상대방 사이의 관계를 완전하고 완벽하게 느끼고 있으며, 연애에서 원하는 목표를 달성하고 있는 중이라는 것을 나타냅니다.","메이저 21 - 세계 (The World):미래에 세계 카드가 나온다면, 당신은 완성과 성취를 경험할 것입니다. 이 카드는 성공과 완성을 상징하며, 당신이나 상대방이 목표를 달성하고 새로운 단계로 나아가는 과정을 나타냅니다.",1st세계돈,2st세계돈,3st세계돈,1st세계일,2st세계일,3st세계일
22,마이너,wands 1,완드 1,"창조력, 출발",정방향,Ace of Wands (완드의 에이스): 과거에는 새로운 열정이나 출발점을 찾지 못했을 수 있습니다. 연애에서의 새로운 시작이 부족했을 수 있습니다.,Ace of Cups (컵의 에이스): 새로운 사랑의 출현과 감정적인 시작을 나타냅니다. 당신은 현재 새로운 사랑의 가능성을 느낄 수 있습니다,"마이너 아케나의 완드 무늬 카드 중 첫 번째 카드는 ""완드 Ace""입니다. 이 카드는 새로운 시작, 창조성, 에너지의 발현을 상징합니다. 연애 관점에서 보면, 이 카드는 새로운 사랑의 시작이나 관계의 확립을 나타낼 수 있습니다. 새로운 에너지가 소통과 열정을 통해 관계를 발전시키고, 새로운 동기부여를 가져올 것입니다.",1st완드 1돈,2st완드 1돈,3st완드 1돈,1st완드 1일,2st완드 1일,3st완드 1일
23,마이너,wands 2,완드 2,"재산, 장엄함",정방향,Two of Wands (완드의 2): 이전에는 연애에서 선택의 기회를 충분히 활용하지 못했을 수 있습니다. 관계에서의 선택이나 방향성을 정하지 못한 적이 있을 수 있습니다.,"Two of Cups (컵의 이): 협력과 조화를 상징합니다. 당신과 상대방은 서로에게 깊은 연결을 느끼고 있으며, 서로를 지지하고 이해하고 있습니다.","두 번째 카드는 ""완드 두 번째(또는 2)""입니다. 이 카드는 행동력, 결정력, 진취성을 나타내며, 연애 관계에서는 자신의 목표를 향해 나아가는 결단력을 상징합니다. 이 카드가 나온다면, 당신이나 상대방이 관계에서 적극적으로 행동하고자 할 것임을 시사할 수 있습니다.",1st완드 2돈,2st완드 2돈,3st완드 2돈,1st완드 2일,2st완드 2일,3st완드 2일
24,마이너,wands 3,완드 3,"확립된 힘, 교역",정방향,Three of Wands (완드의 3): 과거에는 연애에서 성공을 위해 충분한 계획과 준비를 하지 못했을 수 있습니다. 미래에 대한 전망이나 계획을 세우는 데 어려움이 있었을 수 있습니다.,Three of Cups (컵의 쓰리): 기쁨과 친밀함을 상징합니다. 당신은 현재 가족이나 친구와 함께 즐거운 시간을 보내고 있을 것입니다.,"세 번째 카드는 ""완드 세 번째(또는 3)""입니다. 이 카드는 성공적인 성과, 성장, 창의성을 나타냅니다. 연애 관계에서는 두 사람 사이에 새로운 아이디어나 계획이 도래할 수 있으며, 협력과 신뢰를 기반으로 더 나은 결과를 이끌어낼 것입니다.",1st완드 3돈,2st완드 3돈,3st완드 3돈,1st완드 3일,2st완드 3일,3st완드 3일
25,마이너,wands 4,완드 4,"작업의 완성, 휴식",정방향,Four of Wands (완드의  4): 이전에는 연애에서 안정성이나 기쁨을 찾지 못했을 수 있습니다. 관계에서의 안정성이나 축복을 제대로 경험하지 못했을 수 있습니다.,"Four of Cups (컵의 포): 만족스럽지 않음과 우울함을 나타냅니다. 당신은 현재 상황에 대해 불만족스러움을 느낄 수 있으며, 감정적인 어려움을 겪고 있을 수 있습니다.","네 번째 카드는 ""완드 네 번째(또는 4)""입니다. 이 카드는 안정성, 기반의 확보, 안정적인 진행을 나타냅니다. 연애 관계에서는 두 사람이 서로에게 안정감과 지지를 주고받으며, 관계의 기반이 단단해질 것임을 시사합니다.",1st완드 4돈,2st완드 4돈,3st완드 4돈,1st완드 4일,2st완드 4일,3st완드 4일
26,마이너,wands 5,완드 5,"치열한 경쟁, 스포츠",정방향,Five of Wands (완드의 5): 과거에는 연애에서 갈등이나 경쟁이 있었을 수 있습니다. 관계에서의 갈등이나 혼란이 있었을 수 있습니다.,"Five of Cups (컵의 파이브): 절망과 손실을 상징합니다. 현재 당신은 과거의 실망이나 손실에 대해 그리움을 느낄 수 있으며, 이로 인해 현재의 관계에 부정적인 영향을 미칠 수 있습니다.","다섯 번째 카드는 ""완드 다섯 번째(또는 5)""입니다. 이 카드는 경쟁, 도전, 승리를 상징합니다. 연애 관계에서는 두 사람이 서로를 도전하고 서로에게 영감을 주며, 어려운 시간을 함께 극복할 수 있음을 나타냅니다.",1st완드 5돈,2st완드 5돈,3st완드 5돈,1st완드 5일,2st완드 5일,3st완드 5일
27,마이너,wands 6,완드 6,"승리자, 대뉴스의 도달",정방향,Six of Wands (완드의 식스): 연애에서의 성공이나 승리를 경험하지 못했을 수 있습니다. 자신을 성공적으로 표현하지 못했을 수 있습니다.,"Six of Cups (컵의 식스): 회상과 추억을 상징합니다. 당신과 상대방은 과거의 기억에 매료되고 있을 수 있으며, 서로에 대한 사랑과 관심을 되새기고 있을 것입니다.","여섯 번째 카드는 ""완드 여섯 번째(또는 6)""입니다. 이 카드는 성공적인 성취, 보상, 승리의 기쁨을 나타냅니다. 연애 관계에서는 두 사람이 함께 노력한 끝에 성취를 이루고 함께 성장하게 될 것입니다.",1st완드 6돈,2st완드 6돈,3st완드 6돈,1st완드 6일,2st완드 6일,3st완드 6일
